含引腳最大外形規則 — 全 10 顆尺寸測

[1N4148W] L=OK(3.99/3.86)  W=X(2.84/1.8)  H=X(1.9/1.35)
[BAS16] L=OK(3.0/3.0)  W=OK(2.5/2.5)  H=OK(1.1/1.1)
[BAS21H] L=X(1.8/2.7)  W=OK(1.35/1.35)  H=X(0.95/1.0)
[BAT750] L=OK(2.9/3.0)  W=OK(2.55/2.55)  H=X(1.25/1.15)
[BAV99W] L=X(2.5/2.2)  W=OK(2.1/2.2)  H=X(0.9/1.0)
[CD4148WTP] L=X(1.55/1.65)  W=X(0.8/0.9)  H=X(0.65/0.75)
[DFLS160] L=OK(3.9/3.9)  W=X(2.8/1.93)  H=OK(1.0/1.0)
[MBR15U150] L=OK(6.6/6.6)  W=X(5.5/4.1)  H=OK(1.2/1.2)
[MSB30M] L=OK(8.6/8.6)  W=X(7.4/6.7)  H=OK(1.5/1.5)
[SBR05U20LPS] L=OK(1.075/1.075)  W=OK(0.675/0.675)  H=OK(0.4/0.4)

尺寸格命中: 17/30 = 57%  (V23 baseline: 17/30=57%)
